annot	k	mean_VE	ARI
HMM_functional	6	0.38012182946421974	0.20544155157845695
HMM_functional	7	0.39748280123091284	0.20584179484881052
HMM_functional	8	0.405354795085243	0.2009794001962824
HMM_functional	9	0.39794460413218413	0.19085176558977632
HMM_functional	10	0.41071430016216864	0.16867517435312485
HMM_structural	6	0.43274551608406836	0.215435565475966
HMM_structural	7	0.44828781684262226	0.20420747255621313
HMM_structural	8	0.4522031019145558	0.19470587801017372
HMM_structural	9	0.45026257547240744	0.17844757721262178
HMM_structural	10	0.4599146195531369	0.1710451100416722
HMM_combined	6	0.3873319352148637	0.19696756618208044
HMM_combined	7	0.4101447183550409	0.1959350880651962
HMM_combined	8	0.4312247106530743	0.19192769703374118
HMM_combined	9	0.4336149352016065	0.17553610923302282
HMM_combined	10	0.43382393748131615	0.16500914616737763
