annot	k	ge_VE
HMM_functional	6	0.2786864044911991
HMM_functional	7	0.3123076194878823
HMM_functional	8	0.30783209486071983
HMM_functional	9	0.31721359951611394
HMM_functional	10	0.3271576775147642
HMM_structural	6	0.14164663566990987
HMM_structural	7	0.15188786958562273
HMM_structural	8	0.154380851630474
HMM_structural	9	0.16066098436964904
HMM_structural	10	0.17471632970875783
HMM_combined	6	0.25497770486214555
HMM_combined	7	0.24259835042207012
HMM_combined	8	0.25240218896379285
HMM_combined	9	0.25149154517251227
HMM_combined	10	0.25325133176089787
