annot	k	DNase	H3K4me2	H3K27ac	H2A.Z	H3K9me3	H3K4me1	H3K27me3	H3K9ac	H3K4me3	H3K36me3	H3K79me2	H4K20me1
HMM_functional	6	0.6235491949532772	0.7558851876705972	0.743757504893449	0.4731227613128023	0.14952019870779332	0.7383849558196025	0.5248208503482013	0.6749057824572876	0.6681921116384497	0.6456608448975822	0.6900997944785764	0.3182462416472477
HMM_functional	7	0.6549775359358128	0.7743862496042858	0.7460316424901818	0.44447474966647404	0.11264339372509868	0.7206496959281321	0.5136153808430968	0.7125060313597141	0.6763176667452494	0.6967275569613073	0.729974150047407	0.34196552107127076
HMM_functional	8	0.6750548083459909	0.7922914261775492	0.768983042790774	0.466041833112971	0.11113117851566923	0.7273669036135174	0.5299612644831626	0.7440921662357471	0.6958331252158689	0.7059826822450048	0.7285673715892076	0.32378479945047334
HMM_functional	9	0.6418099184525764	0.7561265752090914	0.7613268828135925	0.46323808835763214	0.22741703098512567	0.7397654798385325	0.5432950699545047	0.6943381949329449	0.6521204254450642	0.6914296193953624	0.7246726741578439	0.31647657339691104
HMM_functional	10	0.6345364751142528	0.7542166230914221	0.7709074899509909	0.5034609433534201	0.23958671628735495	0.7203008493556539	0.6172044980274112	0.6869694652292571	0.6734561580523512	0.6988080864542201	0.7112921854376293	0.42148405070185657
HMM_structural	6	0.46354415418579253	0.5241090473451679	0.46550140110879423	0.3076565342164155	0.155321416856532	0.5191420906963	0.2847576410176682	0.4754370930142381	0.40976942703718633	0.4274178535328851	0.40878432699573	0.40518214454343204
HMM_structural	7	0.47181318610701484	0.5389356951296997	0.4771977054784914	0.3430116052169975	0.17352673954409858	0.5370339036793603	0.23862401911246978	0.48979647795994796	0.42267970565746016	0.4370602088872665	0.4194163597302758	0.4031793707410253
HMM_structural	8	0.4728563222957515	0.5420145061241537	0.47734399307308417	0.3476644366210143	0.18537300574547289	0.5367931085045441	0.25168025255202897	0.4930205103416171	0.42732126003837423	0.4402147478550622	0.42197155787570995	0.4163563399308925
HMM_structural	9	0.47721716441602313	0.5397213952267425	0.48346434800799	0.33937768936101487	0.16195387212831447	0.5265686555640505	0.3096243802961556	0.49669120229647246	0.42937991688546995	0.44380368898098843	0.42683684943250977	0.42015184338289036
HMM_structural	10	0.4866762128642459	0.5524471938091614	0.5081280287017256	0.3457725909788637	0.17094271210186707	0.539194845707651	0.3449404702784503	0.5118298402333417	0.4454692179905374	0.4600244986279397	0.4517837243566285	0.43472628043086425
HMM_combined	6	0.5336553667606244	0.6369532844965645	0.6063766007406481	0.3234139013172398	0.15980414582707458	0.6065730211072391	0.30772712465771734	0.576510381835222	0.5350040882428233	0.5912086779227621	0.5723543401290536	0.40325357974189036
HMM_combined	7	0.5578706742526367	0.6558814632637957	0.626935559949048	0.3628074665379123	0.16409033367250714	0.6327681315457853	0.24773073766836096	0.5983185306962235	0.5506286022056288	0.578285966574416	0.5783110788428982	0.36214284027058474
HMM_combined	8	0.5600762196350548	0.6582684150855058	0.6301727138702714	0.3996865704945233	0.20577358702000714	0.6382103542602541	0.3885951066641886	0.603676056156604	0.5548222030234204	0.587293498727423	0.5829996259807244	0.40400007011994776
HMM_combined	9	0.576061298430419	0.6704213442455662	0.6500764612105332	0.4159038976926226	0.2257376490416111	0.654652384286956	0.3890696255176235	0.61552297391758	0.5712779247563291	0.5885670923756822	0.5993063638956108	0.41857753185884905
HMM_combined	10	0.5779665425060605	0.6807204940405316	0.661573963457976	0.41809452159205174	0.2269754624446768	0.6509234421549783	0.40405178968626465	0.6377875418615364	0.585353483170779	0.5930839813437331	0.6169496452867682	0.4482250186705836
