annot	k	mean_VE	ARI
HMM_functional	6	0.3777775034365842	0.20076731156179026
HMM_functional	7	0.375250163193879	0.18779661281646165
HMM_functional	8	0.38575214740943026	0.18487125910292723
HMM_functional	9	0.38752492349178175	0.18126803362696653
HMM_functional	10	0.41442939490310576	0.1859814244875232
HMM_structural	6	0.4319379899664542	0.22268873616008233
HMM_structural	7	0.4396325205257377	0.21636491939139232
HMM_structural	8	0.4445371287380171	0.19773908719390798
HMM_structural	9	0.4499005486585442	0.18092606509726894
HMM_structural	10	0.450908825301003	0.17492032688542314
HMM_combined	6	0.4237503428818619	0.21438433331383255
HMM_combined	7	0.45021421719483995	0.21238361047341364
HMM_combined	8	0.45477975185676955	0.21008072116438464
HMM_combined	9	0.459198642203138	0.2072859827370143
HMM_combined	10	0.4567965071313729	0.19936704860298932
