annot	k	LaminA	SON	DNase	H3K4me2	H3K27ac	H2A.Z	H3K9me3	H3K4me1	H3K27me3	H3K9ac	H3K4me3	H3K36me3	H3K79me2	H4K20me1
HMM_functional	6	0.2919006285841872	0.29376172494398545	0.6381035084784377	0.6558400563217797	0.6848759080093316	0.5743383213258775	0.5027626508398635	0.7245285677997831	0.5347752835580967	0.7111451816136727	0.6366579794786046	0.7092827964350117	0.6497360823093513	0.48863380251958055
HMM_functional	7	0.3101258951599003	0.30926936042446784	0.6362929098370378	0.6675156580537416	0.6902774674998386	0.5902011044627379	0.49423182892757045	0.7121013042895867	0.5930793357120081	0.7155711916692801	0.6466590073269494	0.6898734930786383	0.6750839303976466	0.5164625626227837
HMM_functional	8	0.3295612098793851	0.33696779955061984	0.6452576334535365	0.6717590674042497	0.6895764807403426	0.5740669600552589	0.5069585865330383	0.7214635838968584	0.6118024875514347	0.704735409337337	0.6358759143825692	0.7051052092165626	0.6972019817487778	0.551437609634752
HMM_functional	9	0.34029372609981245	0.3518415731431903	0.6548829480309399	0.6900595947117801	0.7141355983105334	0.6131174826162349	0.5206489842249395	0.7309970497545332	0.6773985289938832	0.7232143080958655	0.6515444389637363	0.7205488998425331	0.7087621011038889	0.6005490170706489
HMM_functional	10	0.3526513516936949	0.37661886537547795	0.65411544161967	0.7490100313902759	0.7411489754157231	0.6377103132106072	0.5294672545845742	0.7307601078361046	0.6835087533659098	0.7601647895608856	0.7050180652254591	0.7082695463287508	0.6952343696639397	0.6308771477572016
HMM_structural	6	0.584866498916881	0.6056832061874725	0.4042838840673938	0.4940078906156088	0.4896727758133791	0.3773444955858082	0.48201266349714855	0.5573735634625294	0.2501148921067671	0.44426824439261026	0.3689975597828007	0.3380123052027735	0.2960392315837497	0.47864586729986647
HMM_structural	7	0.6067359563211681	0.6094221204929465	0.4268124907108758	0.5030570002101924	0.4985297714327417	0.39825921969862654	0.48199360916954437	0.5728567699126361	0.2777618785672661	0.4603986976624257	0.3872867334669794	0.35442651416829796	0.31249344976951887	0.5102858062541296
HMM_structural	8	0.6171999222460247	0.6180079032488075	0.4246436158665312	0.5037968752113187	0.49833793802107207	0.38400068667356946	0.44918130497927033	0.5724526933920958	0.2956565395064653	0.4589889555396264	0.38642626217044007	0.3543275558202106	0.31228643423178326	0.5204471037554187
HMM_structural	9	0.6185566041965326	0.6206141034562809	0.4339941796877588	0.5088821616130466	0.5034693256312905	0.3792050161632491	0.4171827610697715	0.5785350167506395	0.3023831032961387	0.46432145894384436	0.3938420926549324	0.36343195886037927	0.3173408835183711	0.5289597389079125
HMM_structural	10	0.6214757965830024	0.6259613651417031	0.4354755470616646	0.5107755616731184	0.5067829775024375	0.38003856319140017	0.4200319365519697	0.5808566087502183	0.2955790324638149	0.4657711146196569	0.39364885254538473	0.3651976586901946	0.31671526449487486	0.5275989220476633
HMM_combined	6	0.5370189399538936	0.5062177750622858	0.5668838899716397	0.5968002234999226	0.6119172367985143	0.4513577473600444	0.5055546706722234	0.6559071902901321	0.48871146015327915	0.6039101364448465	0.5365385686886457	0.5534612279444189	0.5364620963842419	0.49546511214603495
HMM_combined	7	0.5801306865328268	0.5884380887095834	0.564674591985501	0.6055864945830047	0.6022486723615166	0.46207956794963057	0.5172535866090315	0.6551158890491258	0.4743555608193537	0.6035795790904539	0.5379621153063527	0.557975437201333	0.5695233696108536	0.5231022584744428
HMM_combined	8	0.579389193188103	0.5950892931301677	0.5863035699981516	0.6255594877753812	0.6249586873920481	0.5082992521186565	0.5285208906237386	0.6842765013587797	0.5068087110446098	0.6411848130969922	0.5707501984848821	0.6377173627387267	0.5800440583713447	0.5281414807108069
HMM_combined	9	0.5749918452650506	0.5880262391345141	0.6289801703024407	0.6776679792844323	0.6823508124491044	0.5457535464040708	0.5389430315175021	0.7225953428830676	0.4998022833330833	0.6963344419678347	0.629722457256608	0.6262611404951587	0.6011413087936069	0.5373642194212673
HMM_combined	10	0.571749205867385	0.5832300760831151	0.6345967885521577	0.6870477964122127	0.6876166357053406	0.5758973690671836	0.5269618944362318	0.7266655057977988	0.511389510244977	0.7020616003059125	0.6402793207997752	0.6473300365789365	0.6175620018251851	0.5550651972946377
