jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
1	vit0.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	2488	0	1.0434899999999998	0
2	vit11.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	2431	0	2.006625	0
3	vit15.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	1979	0	2.9162619999999997	0
4	vit16.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	1911	0	3.843187	0
5	vit17.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	1808	0	4.83605	0
6	vit18.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	1708	0	5.740758	0
7	vit19.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	1592	0	6.458105	0
8	vit20.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	1463	0	7.407058	0
9	vit21.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	1412	0	8.253142	0
10	vit1.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	1355	0	9.166225	0
11	vit2.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	1349	0	9.885100000000001	0
12	vit3.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	1339	0	10.727491	0
13	vit4.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	962	0	11.536527	0
14	vit7.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	902	0	12.290975000000001	0
15	vit5.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	883	0	13.090156	0
16	vit6.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	825	0	13.845367	0
17	vit8.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	812	0	14.632609	0
18	vit9.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	781	0	15.442406	0
19	vit12.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	630	0	16.192208	0
20	vit10.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	591	0	16.984279	0
21	vit13.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	388	0	17.758347	0
22	vit14.annotdir_res100000_k8.1da1b6bea42011ec9537a4c3f04f704a	gmtkViterbi	8	353	0	18.525459	0
