jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
1	emt0.0.0.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2488	0	1.383922	0
2	emt0.0.11.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2431	0	2.672116	0
3	emt0.0.15.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1979	0	3.915145	0
4	emt0.0.16.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1911	0	5.17844	0
5	emt0.0.17.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1808	0	6.331109	0
6	emt0.0.18.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1708	0	7.459327	0
7	emt0.0.19.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1592	0	8.635425999999999	0
8	emt0.0.20.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1463	0	9.789624	0
9	emt0.0.21.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1412	0	10.867341999999999	0
10	emt0.0.1.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1355	0	11.962536	0
11	emt0.0.2.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1349	0	13.074166	0
12	emt0.0.3.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1339	0	14.162216999999998	0
13	emt0.0.4.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	962	0	15.216209	0
14	emt0.0.7.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	902	0	16.194009	0
15	emt0.0.5.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	883	0	17.154359	0
16	emt0.0.6.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	825	0	18.138797	0
17	emt0.0.8.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	812	0	19.087415999999997	0
18	emt0.0.9.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	781	0	20.117422	0
19	emt0.0.12.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	630	0	20.9972	0
20	emt0.0.10.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	591	0	21.965083	0
21	emt0.0.13.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	388	0	22.94985	0
22	emt0.0.14.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	353	0	23.816163	0
23	emt0.0.bundle.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	0	0	24.531076	0
25	emt0.1.11.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2431	0	25.835298	0
26	emt0.1.15.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1979	0	27.046431000000002	0
27	emt0.1.16.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1911	0	28.267955	0
28	emt0.1.17.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1808	0	29.529342	0
29	emt0.1.18.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1708	0	30.727584999999998	0
30	emt0.1.19.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1592	0	31.95015	0
31	emt0.1.20.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1463	0	33.106162	0
32	emt0.1.21.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1412	0	34.252938	0
33	emt0.1.1.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1355	0	35.428617	0
