jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
2	emt0.0.11.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2431	0	1.6972749999999999	0
3	emt0.0.15.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1979	0	3.255085	0
4	emt0.0.16.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1911	0	4.82247	0
5	emt0.0.17.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1808	0	6.240248	0
6	emt0.0.18.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1708	0	7.562267	0
7	emt0.0.19.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1592	0	8.945582	0
8	emt0.0.20.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1463	0	10.155256	0
9	emt0.0.21.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1412	0	11.402476	0
10	emt0.0.1.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1355	0	12.701803	0
11	emt0.0.2.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1349	0	13.937585	0
12	emt0.0.3.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1339	0	15.231978000000002	0
13	emt0.0.4.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	962	0	16.327096	0
14	emt0.0.7.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	902	0	17.302596	0
15	emt0.0.5.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	883	0	18.402372	0
16	emt0.0.6.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	825	0	19.485217	0
17	emt0.0.8.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	812	0	20.615097	0
18	emt0.0.9.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	781	0	21.678573999999998	0
19	emt0.0.12.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	630	0	22.653261	0
20	emt0.0.10.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	591	0	23.636652	0
21	emt0.0.13.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	388	0	24.554071	0
22	emt0.0.14.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	353	0	25.452841	0
1	emt0.0.0.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2488	0	27.040956	0
23	emt0.0.bundle.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	0	0	27.690714	0
25	emt0.1.11.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2431	0	29.364323	0
26	emt0.1.15.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1979	0	30.789408	0
27	emt0.1.16.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1911	0	32.215167	0
28	emt0.1.17.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1808	0	33.701544	0
29	emt0.1.18.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1708	0	35.100707	0
30	emt0.1.19.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1592	0	36.505205	0
31	emt0.1.20.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1463	0	37.67014	0
32	emt0.1.21.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1412	0	38.890696000000005	0
33	emt0.1.1.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1355	0	40.148524	0
34	emt0.1.2.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1349	0	41.437197000000005	0
35	emt0.1.3.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1339	0	42.720103	0
36	emt0.1.4.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	962	0	43.874407000000005	0
37	emt0.1.7.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	902	0	44.956233	0
38	emt0.1.5.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	883	0	46.076527	0
