jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
1	vit0.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	9947	0	1.486082	0
2	vit11.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	9728	0	2.993059	0
3	vit15.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	7914	0	4.415161	0
4	vit16.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	7642	0	5.67198	0
5	vit17.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	7229	0	6.934286	0
6	vit18.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	6829	0	8.183186	0
7	vit19.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	6365	0	9.421412	0
8	vit20.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	5847	0	10.660631	0
9	vit21.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	5644	0	11.80491	0
10	vit1.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	5418	0	12.996396	0
11	vit2.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	5391	0	14.129283	0
12	vit3.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	5352	0	15.342664	0
13	vit4.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	3844	0	16.346629	0
14	vit7.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	3604	0	17.3111	0
15	vit5.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	3532	0	18.318464000000002	0
16	vit6.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	3298	0	19.293899	0
17	vit8.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	3247	0	20.287618	0
18	vit9.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	3121	0	21.271067	0
19	vit12.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	2517	0	22.171233	0
20	vit10.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	2361	0	23.064156	0
21	vit13.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	1549	0	23.912957	0
22	vit14.annotdir_res25000_k6.48d1c62ca3ca11ecb4d4a4c3f04f704a	gmtkViterbi	6	1407	0	24.748921	0
