signal_name	k	ve
DNase	3	0.49991427158697843
DNase	4	0.4945902302148195
DNase	5	0.5895793477142999
DNase	6	0.6301632936035406
DNase	7	0.6176340598538803
DNase	8	0.6735806835632439
H3K4me2	3	0.6250595733533897
H3K4me2	4	0.6035531465595172
H3K4me2	5	0.7076780658148782
H3K4me2	6	0.7607668282047215
H3K4me2	7	0.7545380183863022
H3K4me2	8	0.7878840818448479
H3K27ac	3	0.4344731103838744
H3K27ac	4	0.47043490160536594
H3K27ac	5	0.5202559402723653
H3K27ac	6	0.6408014573512473
H3K27ac	7	0.6542859938131345
H3K27ac	8	0.7043645044324356
H2A.Z	3	0.4053810028052721
H2A.Z	4	0.39054660653220596
H2A.Z	5	0.5820757031736266
H2A.Z	6	0.568072099124079
H2A.Z	7	0.5732167442137599
H2A.Z	8	0.6038440034398156
H3K9me3	3	0.0641937215408428
H3K9me3	4	0.06829285550126896
H3K9me3	5	0.10494314520870207
H3K9me3	6	0.11193884515542019
H3K9me3	7	0.13280686480151627
H3K9me3	8	0.1542304322337663
H3K4me1	3	0.573622927929273
H3K4me1	4	0.5850280541829
H3K4me1	5	0.5724294345441181
H3K4me1	6	0.6093867199221761
H3K4me1	7	0.6546266797245242
H3K4me1	8	0.6638038501215695
H3K27me3	3	0.08803106543681394
H3K27me3	4	0.20870386142404473
H3K27me3	5	0.21942912545308346
H3K27me3	6	0.22561049533770738
H3K27me3	7	0.23352631563088322
H3K27me3	8	0.2352270362355101
H3K9ac	3	0.4066091192299266
H3K9ac	4	0.42904147324772923
H3K9ac	5	0.5693033068217361
H3K9ac	6	0.6295597372113981
H3K9ac	7	0.6202782908266256
H3K9ac	8	0.7194731863418375
H3K4me3	3	0.5145853675425521
H3K4me3	4	0.5218277589369869
H3K4me3	5	0.6364414811431582
H3K4me3	6	0.6926087355049366
H3K4me3	7	0.6951861253511665
H3K4me3	8	0.737393648341671
H3K36me3	3	0.34317184631304853
H3K36me3	4	0.48389887536459275
H3K36me3	5	0.5667132894928169
H3K36me3	6	0.5972242256496135
H3K36me3	7	0.5991800674987703
H3K36me3	8	0.6141721996470904
H3K79me2	3	0.4258019315035718
H3K79me2	4	0.5479362910014751
H3K79me2	5	0.43525083383618446
H3K79me2	6	0.5934973353370319
H3K79me2	7	0.5731435487479439
H3K79me2	8	0.5781038244698202
H4K20me1	3	0.08586883634752418
H4K20me1	4	0.10196517711598363
H4K20me1	5	0.11640429731721758
H4K20me1	6	0.14237214203102644
H4K20me1	7	0.14389338226401283
H4K20me1	8	0.1559758444013546
