GMM_2	GMM_3	GMM_4	GMM_5	GMM_6	GMM_7	GMM_8	GMM_9	GMM_10	GMM_11	GMM_12	GMM_13	GMM_14	GMM_15
0	2	2	3	3	3	3	3	3	7	3	12	3	0
1	0	3	4	1	1	6	6	2	2	6	4	4	0
1	0	3	4	1	6	6	6	6	10	10	10	10	10
1	1	1	1	5	5	2	2	9	9	9	9	2	9
1	1	1	1	5	6	2	2	6	10	10	10	2	10
1	1	1	4	5	6	2	2	6	10	10	10	10	10
1	1	1	1	5	5	2	2	9	9	9	9	2	9
1	1	1	1	5	5	2	2	9	9	9	9	2	9
1	1	3	4	1	6	6	6	6	10	10	6	10	10
1	1	1	1	5	5	2	2	6	10	10	10	2	10
1	1	3	4	1	6	1	6	6	1	10	1	10	1
1	1	1	1	5	5	4	4	9	9	4	9	1	14
1	1	1	1	5	5	2	2	9	9	9	9	2	9
1	0	0	3	4	4	0	8	8	8	8	8	8	13
1	0	3	3	1	1	1	7	7	6	7	12	12	4
1	1	1	1	5	5	2	2	6	10	10	10	2	10
1	1	1	1	1	6	1	6	6	10	10	10	10	10
1	1	1	1	5	5	2	2	6	10	10	10	10	10
1	1	1	1	5	5	2	2	9	9	9	9	2	9
1	1	1	1	5	5	2	2	9	9	9	9	2	9
0	2	2	2	3	3	3	3	3	7	3	12	3	3
1	0	0	3	3	3	7	7	7	7	0	0	0	3
0	0	0	3	3	4	7	7	7	7	5	5	0	12
0	2	0	0	0	0	0	0	0	0	5	5	5	12
0	0	0	0	0	4	0	0	7	7	5	5	5	12
0	0	0	0	0	0	0	0	0	0	5	5	5	12
0	0	0	0	0	0	0	0	0	0	5	5	5	12
0	0	0	0	0	0	0	0	0	0	5	5	5	12
1	0	0	0	0	4	0	0	0	0	5	5	5	12
1	1	1	1	5	5	2	2	9	9	9	9	2	9
1	1	3	4	1	6	1	6	6	10	10	10	10	10
1	1	3	4	1	6	6	6	6	10	10	10	10	10
1	0	3	3	4	1	6	6	2	2	6	4	4	0
0	2	2	2	3	3	3	3	3	3	3	3	3	3
0	0	0	0	0	0	0	0	0	0	5	5	5	12
0	2	0	0	0	0	0	0	0	0	5	5	5	5
0	2	0	0	0	0	0	0	0	0	5	5	5	5
0	2	0	2	3	3	7	0	7	7	0	0	0	3
0	2	2	2	3	3	5	0	0	7	0	0	0	3
0	2	0	0	0	0	5	0	0	0	5	5	5	5
