GMM_2	GMM_3	GMM_4	GMM_5	GMM_6	GMM_7	GMM_8	GMM_9	GMM_10	GMM_11	GMM_12	GMM_13	GMM_14	GMM_15
0	0	0	0	0	6	3	5	3	3	10	5	12	13
0	0	0	4	5	6	3	3	2	3	10	2	12	13
0	2	2	2	2	2	6	6	9	9	9	9	9	9
0	0	0	4	5	6	3	3	2	3	10	3	3	3
0	2	2	2	2	2	6	6	9	9	9	9	9	6
1	2	2	3	3	3	0	0	5	0	0	0	0	0
0	2	0	3	0	0	0	5	3	2	2	2	13	4
0	2	2	3	0	0	0	5	0	2	2	0	13	4
0	0	3	0	5	6	3	3	2	3	10	3	3	3
0	2	0	3	0	0	0	5	0	2	2	2	13	4
0	0	3	0	5	6	3	3	2	5	5	5	5	5
0	0	3	0	5	6	5	8	8	8	8	8	8	5
0	0	3	0	5	6	3	3	2	3	10	3	3	5
0	0	0	0	0	6	3	3	2	2	2	2	13	13
0	2	0	2	4	4	7	7	7	7	3	12	2	2
0	0	0	0	5	6	3	3	2	3	10	2	13	13
0	0	3	0	5	6	3	3	2	3	10	5	5	5
0	2	2	3	0	0	0	0	0	2	2	0	13	4
0	0	3	0	5	6	3	3	2	5	5	5	5	5
0	0	3	0	5	6	3	3	2	3	10	3	3	3
0	0	0	4	4	6	3	3	2	3	10	3	3	3
0	0	3	0	5	6	3	3	2	3	10	3	3	3
0	0	3	0	5	6	3	3	2	3	10	3	3	5
0	0	3	0	5	6	3	3	2	3	10	3	3	3
0	0	3	0	5	6	3	3	2	3	10	3	3	5
0	0	3	0	5	5	5	8	8	3	8	3	3	3
0	0	3	0	5	5	5	8	8	8	8	8	8	8
0	0	0	0	5	6	3	3	2	5	5	5	5	5
0	2	2	3	0	0	0	5	0	2	2	0	13	4
0	0	0	4	5	6	3	3	2	3	10	3	3	3
0	0	0	0	5	6	3	3	2	3	10	3	5	7
0	2	2	2	2	2	2	2	6	6	6	6	6	6
0	2	0	4	4	4	2	7	6	6	3	12	2	12
0	0	3	0	5	5	5	8	8	3	8	3	3	5
0	0	0	0	0	6	3	5	3	5	5	5	5	10
0	0	3	0	5	6	3	3	2	3	10	3	3	3
0	0	0	4	4	6	3	3	2	3	10	3	12	13
0	0	3	0	5	5	5	8	8	8	7	7	7	3
0	2	2	2	2	2	6	6	9	9	9	9	9	9
0	0	0	4	5	6	3	3	2	3	10	3	12	13
0	0	0	4	4	6	3	3	2	3	10	3	3	3
0	0	3	0	5	5	5	8	8	8	8	8	8	8
0	0	0	4	4	4	7	7	7	7	3	12	2	12
0	0	3	4	5	5	7	7	7	7	7	7	7	12
0	0	3	4	4	5	7	7	7	7	7	8	7	12
0	0	3	0	5	5	5	8	8	8	7	8	7	8
0	0	0	0	5	6	3	3	2	3	10	3	5	5
0	0	0	0	0	6	3	3	0	2	2	2	13	4
1	1	1	3	3	3	4	0	4	0	4	4	0	14
1	2	2	3	3	0	0	0	5	10	0	0	0	4
1	1	1	1	3	3	4	4	4	0	4	11	11	14
1	1	2	3	3	3	4	0	0	0	4	0	0	14
0	0	0	0	0	6	3	3	2	2	2	2	13	13
0	2	2	2	2	2	6	6	9	9	9	9	6	9
0	2	2	2	0	0	2	5	6	6	3	12	6	2
0	2	0	4	0	0	0	5	0	2	2	2	13	4
0	2	2	2	2	2	6	6	9	6	6	6	9	6
0	2	0	4	4	6	3	3	2	2	10	2	13	13
0	0	3	0	5	6	3	3	2	3	10	3	3	5
0	0	3	0	5	5	5	8	8	8	8	8	8	5
0	0	3	4	4	4	7	7	7	7	3	12	2	12
0	0	3	4	4	4	7	7	7	7	7	8	7	12
0	0	3	0	5	5	5	8	8	8	7	8	7	5
1	2	2	3	3	3	4	0	0	0	4	0	0	14
1	1	2	3	3	3	4	0	9	0	4	9	9	14
0	0	3	0	5	6	3	3	2	3	10	3	3	5
0	0	3	0	5	6	5	8	2	8	8	8	3	3
0	2	2	3	3	0	0	0	0	2	2	0	0	4
0	2	2	3	3	3	0	0	0	2	2	0	0	4
0	2	2	3	3	3	4	0	0	0	4	0	0	14
0	2	2	4	4	4	7	7	7	7	3	12	2	13
0	0	0	0	5	6	3	3	2	3	10	5	5	5
0	0	3	0	5	5	5	8	8	8	8	8	8	8
0	0	3	0	5	5	5	8	8	8	8	8	8	8
1	1	2	3	3	3	6	6	9	0	4	9	0	14
0	0	0	0	5	6	3	3	2	5	5	5	5	5
1	1	1	2	2	2	6	6	9	9	9	9	4	9
1	1	1	1	1	1	6	6	9	9	9	9	9	9
1	1	1	1	1	1	1	6	9	9	9	9	9	9
1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	2	2	2	2	2	6	6	9	9	9	9	4	9
