index	method	k	avg_length	num_domains	ge_ve	RT_score
0	gmm	3	41017.43284322849	64476	0.3238771939560444	0.1527889543174795
1	gmm	4	33549.925786849686	78827	0.3237137012729612	0.1572419718097635
2	gmm	5	31581.939120362076	83739	0.4653660270151755	0.16789256079692857
3	gmm	6	26669.08687540967	99165	0.522981462412913	0.1973618634698097
4	gmm	7	25513.868120206454	103655	0.5156035102934526	0.19977126425791
5	gmm	8	24056.17814000873	109936	0.5196725260486077	0.20725919056337058
6	hmm	3	47910.14492753623	55200	0.33728397305590696	0.1543656712210415
7	hmm	4	45612.9699896516	57980	0.49248075424748006	0.1556278056240545
8	hmm	5	38887.18974238325	68008	0.4836509822880787	0.16724211333802552
9	hmm	6	36290.58374728984	72874	0.5210954958522511	0.17811402759324846
10	hmm	7	35240.72223332667	75045	0.528597288766752	0.18416752291962526
11	hmm	8	33135.038965595006	79814	0.5256699128622374	0.19702392849219685
12	segway	3	102054.48792158678	25914	0.33983153395109433	0.1267393508891598
13	segway	4	89460.79426290508	29562	0.49035225543518024	0.23550636614615864
14	segway	5	74223.00805478376	35631	0.5051598408621147	0.23324225635921345
15	segway	6	67854.77870429763	38975	0.5144280971364433	0.23959011917297532
16	segway	7	64307.3556231003	41125	0.5171783562696383	0.2696261038955912
17	segway	8	62021.059543631716	42641	0.5295868914242907	0.24989180577781922
0	norm_gmm	3	40109.80511109426	65935	0.31537876086047056	0.1559710820740772
1	norm_gmm	4	35174.633575399675	75186	0.47359157631302473	0.17162193358983716
2	norm_gmm	5	29737.777178068638	88932	0.43979331479861616	0.18239905414273686
3	norm_gmm	6	25611.96226926727	103258	0.5043497075920378	0.2178126211098156
4	norm_gmm	7	22114.038681840608	119591	0.5202333991925658	0.24170985133262612
5	norm_gmm	8	21442.911119399356	123334	0.5487367852713356	0.2452566665857497
6	norm_hmm	3	48303.92694063927	54750	0.3103434495845532	0.16335658095231353
7	norm_hmm	4	44465.666823592706	59476	0.48124849784809687	0.1836716341526526
8	norm_hmm	5	40089.74048023284	65968	0.48075079604393767	0.1884206836812207
9	norm_hmm	6	38465.25293073858	68754	0.49694529708095647	0.29727011053368946
10	norm_hmm	7	35600.30691776489	74287	0.5374129404817812	0.3033187898688963
11	norm_hmm	8	35043.19711665872	75468	0.5540984476942628	0.30410390686466515
