method	input	avg_length	num_domain	ge_ve	TAD_agreement	RT_score1	RT_score2	CTCF_OE	RNAPII_OE	labels entropy
GMM	functional	181655.67865153265	14713	0.31370606999230066	0.9748418343234536	0.3618627248533042	0.16402231352885774	2.677711182295304	2.9624361885119264	1.9501246550690938
GMM	structural	382963.1752400057	6979	0.17153032014587855	1.0526074492723918	0.4403137971571194	0.18898399299862548	3.8477490201522775	4.200115386398341	1.9536356009844307
GMM	combined	232218.26396733	11509	0.2848681519599041	1.0073210090804443	0.3893513942865152	0.17581011057756174	3.4726092053744764	3.8486292762924683	2.009065292404164
HMM_map	functional	214640.21843880505	12452	0.3094020380413949	0.9796465950240258	0.3711256637929641	0.1881666753254712	2.521057036457204	2.7486333962308165	1.8642936762078233
HMM_map	structural	641656.6626650661	4165	0.15203826377601448	1.0522931887977125	0.4539327350702438	0.19502871542274505	4.0773827074098765	4.425176590032762	1.9721296304119884
HMM_map	combined	272196.76138099603	9819	0.26709972521572145	1.0027651765392032	0.3863687296813455	0.1794820910327939	2.8635851136174444	3.083946618332728	1.8837361073643564
HMM_viterbi	functional	216799.1563919533	12328	0.3101077803588137	0.9855569506931866	0.3711638775836517	0.18825176995794016	2.524374349485099	2.7516598046108407	1.8653084007828284
HMM_viterbi	structural	660692.2126081582	4045	0.1522299018114064	1.0511107760534553	0.4533111889097037	0.1957869550285299	4.08913236189667	4.4319418791469705	1.9710385770454424
HMM_viterbi	combined	275450.89147686283	9703	0.2681897035603066	0.9991863083953308	0.3873487227819687	0.1797410102751893	2.8695093499614006	3.0951319665714214	1.8835824863472483
kmeans	functional	212896.28803568587	12554	0.32036359666543435	0.9580499662718472	0.3258251782895832	0.16394317581742696	1.9848290836934528	2.0913178752701254	1.627009286432426
kmeans	structural	395369.8224852071	6760	0.20783412364862894	1.0436420679395908	0.4392271144887376	0.1925764535094477	3.22637388049224	3.476044200333843	1.8567670825175036
kmeans	combined	268910.3531542409	9939	0.29660582904596866	0.9917862917507064	0.42757764037161	0.2078466835422664	2.5312320330575067	2.6698149912095315	1.7331481934328474
segway	functional	384671.84801381687	6948	0.2426611641248468	0.9906641240835274	0.42153874552370296	0.19591657008947688	3.1929638846014363	3.512735442680496	1.9500348223531452
segway	structural	633942.1252371917	4216	0.1596821306787003	1.0523820534629664	0.4780352766533085	0.20342519108084808	3.856252740285936	4.197237112728778	1.9528730177609317
segway	combined	487452.1247492249	5483	0.2258244757575876	1.029654618752428	0.4475451528960048	0.1908070608880464	3.3073206944883866	3.580537052892922	1.8814556559978926
GMM_GBR	functional	186523.8327866564	14329	0.3121060203391468	0.9945016872670296	0.3694443470494175	0.16928739617231234	2.7786072857047803	3.085985461549753	1.9617037059878235
GMM_MRF	functional	395819.12527798367	6745	0.17159820725816366	1.0863405595452484	0.3759043901025241	0.16860866834226695	1.947047601165544	2.1847602473789363	1.3543072203060909
SC	structural	684229.6700441673	3849	0.1526677963962526	1.0313768511708945	0.3811903912156784	0.17371832741437596	3.2326763813669817	3.414614736537558	1.5737137604420766
