chr1	locus1	chr2	locus2	freq
1	3437	2	9409	7
1	31834	2	301976	6
1	31834	2	486817	9
1	45869	2	276214	6
1	45869	2	278991	6
1	45869	2	369715	6
1	45869	2	568788	8
1	60374	2	152882	8
1	60374	2	290117	6
1	71123	2	384634	6
1	75881	2	278991	6
1	77522	2	208923	7
1	77522	2	215163	6
1	77522	2	278991	7
1	79041	2	276214	6
1	79041	2	337328	11
1	80059	2	276214	9
1	87388	2	193504	8
1	87388	2	197093	7
1	87388	2	276214	9
1	87388	2	277559	6
1	87388	2	278991	6
1	95477	2	237231	6
1	95477	2	241756	6
1	98441	2	237231	7
1	98441	2	241756	6
1	101871	2	133258	6
1	101871	2	139637	7
1	101871	2	266271	7
1	101871	2	268119	10
1	101871	2	283653	8
1	108107	2	187702	22
1	108107	2	189076	10
1	108107	2	190351	25
1	108107	2	268119	17
1	108107	2	269734	6
1	108107	2	273716	15
1	108107	2	276214	14
1	108107	2	278991	8
1	108107	2	290117	30
1	116051	2	97402	7
1	116051	2	99601	7
1	116051	2	133258	7
1	116051	2	167917	7
1	116051	2	185952	10
1	116051	2	187702	6
1	116051	2	190351	6
1	116051	2	193504	23
1	116051	2	197093	11
1	116051	2	215163	13
1	116051	2	218318	13
1	116051	2	222491	7
1	116051	2	227042	9
1	116051	2	232912	8
1	116051	2	234720	9
1	116051	2	239170	8
1	116051	2	245669	18
1	116051	2	250086	17
1	116051	2	259259	6
1	116051	2	268119	17
1	116051	2	271446	8
1	116051	2	276214	10
1	116051	2	277559	9
1	116051	2	278991	6
1	116051	2	280734	7
1	116051	2	283653	8
1	116051	2	290117	20
1	116051	2	312591	9
1	116051	2	353543	6
1	116051	2	357000	6
1	116051	2	375119	7
1	116051	2	412983	8
1	116051	2	437804	9
1	120304	2	14347	6
1	120304	2	71465	6
1	120304	2	86934	6
1	120304	2	160950	17
1	120304	2	184519	10
1	120304	2	185952	16
1	120304	2	189076	8
1	120304	2	190351	11
1	120304	2	193504	24
1	120304	2	208923	6
1	120304	2	215163	8
1	120304	2	218318	10
1	120304	2	222491	8
1	120304	2	227042	7
1	120304	2	232912	6
1	120304	2	237231	8
1	120304	2	239170	9
1	120304	2	241756	7
1	120304	2	245669	14
1	120304	2	250086	10
1	120304	2	268119	7
1	120304	2	273716	11
1	120304	2	276214	7
1	120304	2	277559	6
1	120304	2	278991	12
1	120304	2	290117	10
1	120304	2	414943	7
1	122885	2	187702	7
1	122885	2	190351	11
1	122885	2	193504	6
1	122885	2	198548	6
1	122885	2	245669	6
1	122885	2	250086	9
1	122885	2	278991	7
1	122885	2	290117	7
1	125166	2	81169	7
1	125166	2	184519	7
1	125166	2	197093	18
1	125166	2	208923	8
1	125166	2	222491	8
1	125166	2	232912	6
1	125166	2	234720	13
1	125166	2	237231	6
1	125166	2	245669	6
1	125166	2	250086	6
1	125166	2	251864	7
1	125166	2	268119	6
1	125166	2	273716	8
1	125166	2	276214	6
1	125166	2	290117	11
1	130646	2	133258	7
1	130646	2	193504	25
1	130646	2	197093	16
1	130646	2	200512	10
1	130646	2	218318	6
1	130646	2	237231	8
1	130646	2	239170	13
1	130646	2	241756	10
1	130646	2	245669	31
1	130646	2	248006	14
1	130646	2	250086	16
1	130646	2	251864	14
1	130646	2	283653	10
1	130646	2	290117	16
1	130646	2	366540	7
1	130646	2	414943	8
1	134566	2	187702	7
1	134566	2	190351	6
1	134566	2	193504	15
1	134566	2	197093	12
1	134566	2	245669	23
1	134566	2	250086	16
1	134566	2	251864	6
1	134566	2	276214	6
1	134566	2	277559	6
1	134566	2	290117	9
1	147791	2	215163	7
1	147791	2	227042	7
1	147791	2	232912	10
1	147791	2	234720	13
1	147791	2	235579	6
1	147791	2	237231	11
1	147791	2	241756	10
1	147791	2	245669	20
1	147791	2	248006	13
1	147791	2	250086	20
1	147791	2	251864	8
1	147791	2	273716	6
1	147791	2	276214	16
1	147791	2	277559	6
1	149706	2	231015	9
1	149706	2	232912	9
1	161357	2	239170	7
1	161357	2	241756	8
1	161357	2	245669	16
1	161357	2	250086	10
1	167621	2	160950	7
1	167621	2	185952	7
1	167621	2	218318	6
1	167621	2	227042	6
1	167621	2	231015	7
1	167621	2	232912	6
1	167621	2	234720	11
1	167621	2	237231	14
1	167621	2	245669	29
1	167621	2	250086	10
1	167621	2	278991	7
1	174886	2	189076	7
1	174886	2	193504	12
1	174886	2	197093	6
1	174886	2	215163	13
1	174886	2	222491	8
1	174886	2	234720	12
1	174886	2	236240	6
1	174886	2	237231	6
1	174886	2	268119	12
1	174886	2	273716	17
1	180329	2	190351	8
1	180329	2	193504	12
1	180329	2	268119	7
1	180329	2	280734	6
1	184233	2	421033	6
1	184795	2	190351	8
1	184795	2	193504	12
1	184795	2	197093	7
1	184795	2	414943	6
1	186272	2	39289	6
1	186272	2	239170	9
1	186272	2	241756	9
1	186272	2	245669	19
1	186272	2	250086	6
1	186272	2	290117	7
1	186272	2	413372	6
1	187825	2	245669	8
1	187825	2	250086	6
1	188722	2	218318	6
1	188722	2	222491	6
1	188722	2	290117	10
1	191604	2	231015	8
1	191604	2	239170	6
1	191604	2	245669	6
1	191604	2	250086	11
1	191604	2	290117	8
1	199404	2	245669	7
1	199404	2	248006	7
1	204567	2	239170	8
1	204567	2	245669	11
1	13056	3	47306	6
1	13056	3	177565	11
1	31834	3	5195	8
1	31834	3	15939	7
1	31834	3	71085	11
1	31834	3	141492	6
1	31834	3	212322	15
1	31834	3	263274	13
1	31834	3	272448	6
1	31834	3	292989	6
1	45869	3	11811	8
1	45869	3	15939	8
1	45869	3	33556	19
1	45869	3	35849	13
1	45869	3	43406	7
1	45869	3	47306	14
1	45869	3	156378	7
1	45869	3	158715	9
1	45869	3	186518	15
1	71123	3	47306	6
1	71123	3	49756	7
1	71123	3	60064	7
1	71123	3	80721	6
1	75881	3	35849	7
1	75881	3	47306	10
1	75881	3	179419	6
1	77522	3	39135	7
1	77522	3	47306	7
1	77522	3	52277	6
1	77522	3	80721	15
1	77522	3	85559	13
1	77522	3	108179	6
1	77522	3	130213	6
1	77522	3	153231	6
1	77522	3	156378	7
1	79041	3	43406	7
1	79041	3	47306	6
1	79041	3	76840	10
1	79041	3	80721	7
1	79041	3	85559	7
1	79041	3	137763	8
1	79041	3	192182	8
1	87388	3	47306	11
1	87388	3	52277	6
1	87388	3	60064	8
1	87388	3	134426	8
1	87388	3	140245	10
1	95477	3	33556	8
1	95477	3	76840	9
1	95477	3	80721	7
1	95477	3	186518	6
1	101871	3	85559	19
1	101871	3	154372	7
1	101871	3	158715	6
1	101871	3	223623	8
1	108107	3	15939	14
1	108107	3	25729	9
1	108107	3	33556	13
1	108107	3	43406	11
1	108107	3	47306	33
1	108107	3	49756	7
1	108107	3	52277	6
1	108107	3	60064	16
1	108107	3	67365	26
1	108107	3	71085	21
1	108107	3	76840	14
1	108107	3	96173	11
1	108107	3	112281	18
1	108107	3	116928	10
1	108107	3	121547	20
1	108107	3	127402	21
1	108107	3	130213	13
1	108107	3	153231	13
1	108107	3	154372	15
1	108107	3	161017	9
1	108107	3	186518	12
1	108107	3	223623	6
1	108107	3	263274	21
1	108107	3	274569	7
1	116051	3	25729	9
1	116051	3	33556	17
1	116051	3	47306	13
1	116051	3	49756	9
1	116051	3	60064	6
1	116051	3	67365	10
1	116051	3	71085	15
1	116051	3	76840	17
1	116051	3	80721	17
1	116051	3	85559	22
1	116051	3	96173	6
1	116051	3	105541	8
1	116051	3	108179	15
1	116051	3	116928	6
1	116051	3	121547	17
1	116051	3	128908	6
1	116051	3	137763	7
1	116051	3	141492	10
1	116051	3	153231	14
1	116051	3	154372	6
1	116051	3	156378	7
1	116051	3	158715	9
1	116051	3	182305	9
1	116051	3	186518	13
1	116051	3	192182	9
1	116051	3	223623	10
1	116051	3	256014	10
1	116051	3	274569	6
1	116051	3	282196	7
1	120304	3	47306	9
1	120304	3	52277	10
1	120304	3	60064	10
1	120304	3	67365	8
1	120304	3	76840	15
1	120304	3	80721	17
1	120304	3	85559	15
1	120304	3	96173	8
1	120304	3	108179	18
1	120304	3	116928	10
1	120304	3	121547	23
1	120304	3	137763	7
1	120304	3	140245	6
1	120304	3	141492	8
1	120304	3	153231	6
1	120304	3	186518	7
1	120304	3	263274	8
1	120304	3	283833	6
1	122885	3	47306	7
1	122885	3	76840	10
1	122885	3	108179	8
1	122885	3	192182	7
1	122885	3	212322	6
1	125166	3	33556	7
1	125166	3	35849	7
1	125166	3	47306	6
1	125166	3	76840	8
1	125166	3	85559	14
1	125166	3	108179	7
1	125166	3	121547	6
1	125166	3	137763	10
1	125166	3	141492	9
1	125166	3	153231	6
1	125166	3	212322	6
1	130646	3	807	6
1	130646	3	43406	6
1	130646	3	47306	16
1	130646	3	49756	6
1	130646	3	52277	17
