chr1	locus1	chr2	locus2	freq
1	2894	1	191604	8
1	3437	1	167621	10
1	5091	1	31834	285
1	5091	1	45869	144
1	5091	1	60374	47
1	5091	1	77522	41
1	5091	1	108107	26
1	5091	1	116051	26
1	5091	1	120304	18
1	5091	1	125166	15
1	5091	1	130646	21
1	5091	1	186272	10
1	5091	1	191604	12
1	8373	1	31834	70
1	8373	1	45869	58
1	13056	1	45869	194
1	13056	1	60374	52
1	13056	1	80059	23
1	13056	1	108107	26
1	13056	1	116051	26
1	13056	1	120304	16
1	13056	1	186272	15
1	13056	1	191604	12
1	13056	1	199404	12
1	13056	1	204567	10
1	20164	1	45869	259
1	20164	1	60374	48
1	20164	1	77522	28
1	20164	1	79041	31
1	20164	1	108107	42
1	20164	1	116051	35
1	20164	1	120304	17
1	20164	1	174886	15
1	20164	1	184795	11
1	20164	1	188722	12
1	20164	1	191604	14
1	20164	1	196340	32
1	20164	1	199404	12
1	26147	1	60374	180
1	26147	1	77522	127
1	26147	1	80059	67
1	26147	1	108107	70
1	26147	1	116051	64
1	26147	1	120304	50
1	26147	1	122885	23
1	26147	1	125166	21
1	26147	1	184795	25
1	26147	1	186272	23
1	26147	1	191604	38
1	26147	1	204567	36
1	31834	1	57623	137
1	31834	1	60374	169
1	31834	1	64761	110
1	31834	1	71123	67
1	31834	1	75881	82
1	31834	1	77522	109
1	31834	1	79041	81
1	31834	1	80059	66
1	31834	1	87388	132
1	31834	1	95477	53
1	31834	1	98441	72
1	31834	1	101871	69
1	31834	1	108107	111
1	31834	1	116051	85
1	31834	1	120304	61
1	31834	1	122059	14
1	31834	1	122885	26
1	31834	1	125166	30
1	31834	1	130646	48
1	31834	1	161357	20
1	31834	1	167621	24
1	31834	1	171164	40
1	31834	1	174886	18
1	31834	1	180329	17
1	31834	1	186272	20
1	31834	1	191604	26
1	31834	1	199404	21
1	31834	1	204567	18
1	45869	1	71123	130
1	45869	1	75881	179
1	45869	1	77522	253
1	45869	1	79041	103
1	45869	1	80059	104
1	45869	1	87388	288
1	45869	1	95477	64
1	45869	1	98441	103
1	45869	1	101871	75
1	45869	1	108107	182
1	45869	1	116051	120
1	45869	1	120304	77
1	45869	1	122059	16
1	45869	1	122885	30
1	45869	1	125166	27
1	45869	1	130646	78
1	45869	1	147791	26
1	45869	1	167621	13
1	45869	1	171164	18
1	45869	1	174886	23
1	45869	1	180329	24
1	45869	1	184795	15
1	45869	1	186272	34
1	45869	1	191604	22
1	45869	1	199404	13
1	45869	1	204567	23
1	57623	1	87388	93
1	57623	1	101871	39
1	57623	1	108107	39
1	57623	1	116051	47
1	60374	1	87388	117
1	60374	1	101871	42
1	60374	1	108107	80
1	60374	1	116051	47
1	60374	1	120304	37
1	60374	1	125166	27
1	60374	1	130646	32
1	60374	1	186272	13
1	60374	1	191604	13
1	64761	1	87388	129
1	64761	1	108107	137
1	64761	1	116051	51
1	64761	1	120304	31
1	64761	1	125166	21
1	64761	1	130646	53
1	64761	1	191604	10
1	71123	1	95477	84
1	71123	1	98441	92
1	71123	1	108107	96
1	71123	1	116051	67
1	71123	1	120304	42
1	71123	1	125166	26
1	71123	1	130646	51
1	75881	1	108107	195
1	75881	1	116051	101
1	75881	1	120304	59
1	75881	1	122885	40
1	75881	1	130646	74
1	75881	1	174886	16
1	75881	1	187825	18
1	75881	1	204567	19
1	77522	1	98441	150
1	77522	1	101871	140
1	77522	1	108107	274
1	77522	1	116051	133
1	77522	1	120304	76
1	77522	1	122885	50
1	77522	1	125166	57
1	77522	1	130646	127
1	77522	1	167621	29
1	77522	1	174886	32
1	77522	1	184795	16
1	77522	1	187825	16
1	79041	1	101871	168
1	79041	1	108107	259
1	79041	1	116051	139
1	79041	1	120304	101
1	79041	1	125166	47
1	79041	1	130646	82
1	79041	1	147791	24
1	79041	1	186272	17
1	80059	1	101871	99
1	80059	1	108107	240
1	80059	1	116051	120
1	80059	1	120304	84
1	80059	1	125166	40
1	80059	1	130646	103
1	80059	1	167621	20
1	80059	1	174886	20
1	80059	1	191604	14
1	87388	1	108107	799
1	87388	1	116051	364
1	87388	1	120304	167
1	87388	1	122885	85
1	87388	1	125166	146
1	87388	1	130646	215
1	87388	1	134566	106
1	87388	1	147791	33
1	87388	1	149706	61
1	87388	1	161357	16
1	87388	1	167621	24
1	87388	1	174886	37
1	87388	1	180329	21
1	87388	1	186272	22
1	87388	1	187825	33
1	87388	1	188722	22
1	87388	1	191604	28
1	87388	1	204567	16
1	95477	1	116051	207
1	95477	1	120304	109
1	95477	1	122885	76
1	95477	1	125166	92
1	95477	1	130646	147
1	95477	1	134566	67
1	95477	1	186272	20
1	95477	1	188722	20
1	98441	1	120304	180
1	98441	1	122885	117
1	98441	1	125166	143
1	98441	1	130646	249
1	98441	1	134566	102
1	98441	1	167621	50
1	98441	1	174886	40
1	98441	1	186272	23
1	98441	1	188722	17
1	98441	1	191604	13
1	98441	1	204567	15
1	101871	1	122059	112
1	101871	1	122885	161
1	101871	1	125166	173
1	101871	1	130646	295
1	101871	1	147791	47
1	101871	1	167621	31
1	101871	1	174886	44
1	101871	1	184795	22
1	101871	1	186272	23
1	101871	1	188722	29
1	101871	1	191604	27
1	101871	1	196340	29
1	108107	1	130646	695
1	108107	1	134566	319
1	108107	1	140853	167
1	108107	1	147791	131
1	108107	1	149706	151
1	108107	1	154558	52
1	108107	1	161357	45
1	108107	1	167621	58
1	108107	1	171164	72
1	108107	1	174886	65
1	108107	1	180329	53
1	108107	1	184795	67
1	108107	1	186272	58
1	108107	1	188722	22
1	108107	1	191604	66
1	108107	1	196340	18
1	108107	1	199404	30
1	108107	1	204567	40
1	116051	1	140853	129
1	116051	1	147791	118
1	116051	1	149706	109
1	116051	1	151287	39
1	116051	1	154558	68
1	116051	1	161357	54
1	116051	1	167621	68
1	116051	1	171164	111
1	116051	1	174886	91
1	116051	1	180329	40
1	116051	1	184795	31
1	116051	1	186272	36
1	116051	1	187825	27
1	116051	1	188722	26
1	116051	1	191604	39
1	116051	1	196340	24
1	116051	1	199404	28
1	116051	1	204567	28
1	120304	1	140853	79
1	120304	1	147791	79
1	120304	1	149706	111
1	120304	1	154558	65
1	120304	1	161357	35
1	120304	1	167621	64
1	120304	1	171164	73
1	120304	1	174886	49
1	120304	1	180329	31
1	120304	1	191604	24
1	120304	1	196340	22
1	120304	1	204567	19
1	122885	1	149706	64
1	122885	1	191604	24
1	125166	1	147791	92
1	125166	1	149706	106
1	125166	1	154558	45
1	125166	1	161357	59
1	125166	1	167621	46
1	125166	1	171164	77
1	125166	1	174886	42
1	125166	1	180329	31
1	125166	1	186272	32
1	130646	1	151287	67
1	130646	1	161357	86
1	130646	1	167621	89
1	130646	1	171164	119
1	130646	1	174886	49
1	130646	1	180329	74
1	130646	1	184795	69
1	130646	1	186272	49
1	130646	1	191604	52
1	130646	1	199404	17
1	130646	1	204567	41
1	134566	1	167621	68
1	140853	1	167621	69
1	147791	1	171164	99
1	147791	1	174886	83
1	147791	1	188722	40
1	147791	1	191604	34
1	149706	1	174886	109
1	154558	1	174886	77
1	154558	1	180329	55
1	154558	1	191604	55
1	161357	1	191604	105
1	167621	1	191604	97
1	171164	1	199404	75
